Name,Size (GiB),Host LUN ID,WWN,Description
LUNID-0,1,0,60:06:01:60:5B:3A:65:00:7C:9C:3B:6A:BC:EF:23:9B,LUNID-0
Easysoft DD-01,"5,120.00",1,60:06:01:60:5B:3A:65:00:FF:69:D3:69:0E:59:F7:EB,Easysoft DD-01
Easysoft DD-02,"5,120.00",2,60:06:01:60:5B:3A:65:00:FF:69:D3:69:B2:9F:33:E8,Easysoft DD-02
OLVM-CLS,"1,228.80",3,60:06:01:60:5B:3A:65:00:1F:8A:D3:69:16:15:08:2D,OLVM-CLS
Kimbal DD,"2,048.00",4,60:06:01:60:5B:3A:65:00:04:26:D5:69:BD:CC:4A:D3,Kimbal DD
OLVM-ISO,200,5,60:06:01:60:5B:3A:65:00:3C:E7:D5:69:94:26:17:9C,OLVM-ISO
Easysoft DD-03,"5,120.00",6,60:06:01:60:5B:3A:65:00:73:25:D5:69:2E:70:13:6E,Easysoft DD-03
kmblmhpk8hesweb,200,7,60:06:01:60:5B:3A:65:00:2E:35:D6:69:B2:EA:64:C1,kmblmhpk8hesweb
kmblmhpk8hescc1,200,8,60:06:01:60:5B:3A:65:00:DD:35:D6:69:3E:2B:A7:2E,kmblmhpk8hescc1
kmblmhpk88hescc2,200,9,60:06:01:60:5B:3A:65:00:58:36:D6:69:43:33:8B:23,kmblmhpk88hescc2
kmblmhpk8hescc3,200,10,60:06:01:60:5B:3A:65:00:D2:36:D6:69:F7:06:2D:24,kmblmhpk8hescc3
kmblmhpk8hesdevicecomm,500,11,60:06:01:60:5B:3A:65:00:34:37:D6:69:D2:28:77:55,kmblmhpk8hesdevicecomm
kmblmhpk8hesmdmcomm,200,12,60:06:01:60:5B:3A:65:00:95:37:D6:69:06:15:DA:4D,kmblmhpk8hesmdmcomm
kmblmhpk8hesdms,750,13,60:06:01:60:5B:3A:65:00:02:38:D6:69:A4:05:8B:16,kmblmhpk8hesdms
kmblmhpk8heszabbix,400,14,60:06:01:60:5B:3A:65:00:7B:38:D6:69:2D:5F:91:98,kmblmhpk8heszabbix
hesdbnode1pkg8-ProfileData-drive-D,"12,288.00",15,60:06:01:60:5B:3A:65:00:94:0D:3D:6A:76:82:E2:02,hesdbnode1pkg8-ProfileData-drive-D
HESDB-E,"3,200.00",16,60:06:01:60:5B:3A:65:00:EA:85:D7:69:FB:71:73:61,HESDB-E Kimbal
HESDB-F,"1,800.00",17,60:06:01:60:5B:3A:65:00:76:86:D7:69:A4:E7:F1:BE,HESDB-F Kimbal
HESDB-G,"1,600.00",18,60:06:01:60:5B:3A:65:00:F2:86:D7:69:FC:1F:A9:47,HESDB-G Kimbal
HES-Quorum-Q,2,19,60:06:01:60:5B:3A:65:00:6E:87:D7:69:68:A5:9D:AE,HES-Quorum-Q
MDM-logdrive-D,"3,921.90",20,60:06:01:60:5B:3A:65:00:69:C2:D8:69:4E:57:B7:D0,MDM-logdrive-D
MDM-tempdrive-E,"1,310.70",21,60:06:01:60:5B:3A:65:00:10:C3:D8:69:8F:E6:9E:44,MDM-tempdrive-E
MDM-IP-F,"7,403.50",22,60:06:01:60:5B:3A:65:00:84:C3:D8:69:17:28:A9:36,MDM-IP-F
MDM-LS-G,"3,758.00",23,60:06:01:60:5B:3A:65:00:05:C4:D8:69:B3:D9:F8:B4,MDM-LS-G
MDM-eventalarm-H,"1,904.60",24,60:06:01:60:5B:3A:65:00:69:C4:D8:69:CA:D4:5D:8F,MDM-eventalarm-H
MDM-IP-I,"7,403.50",25,60:06:01:60:5B:3A:65:00:00:C5:D8:69:22:11:A6:E8,MDM-IP-I
MDM-LS-J,"3,758.00",26,60:06:01:60:5B:3A:65:00:60:C6:D8:69:61:C8:08:FC,MDM-LS-J
MDM-eventalarm-K,"1,904.60",27,60:06:01:60:5B:3A:65:00:DE:C6:D8:69:F4:19:BD:FD,MDM-eventalarm-K
MIS- STG-L,512,28,60:06:01:60:5B:3A:65:00:77:C7:D8:69:41:CD:EB:C6,MIS- STG-L
MIS- M,830,29,60:06:01:60:5B:3A:65:00:D3:C7:D8:69:65:90:C6:CB,MIS- M
MDM-Quorum-Q,2,30,60:06:01:60:5B:3A:65:00:2C:C8:D8:69:12:63:8E:EC,MDM-Quorum-Q
Easysoft-DS-DD,"5,120.00",31,60:06:01:60:5B:3A:65:00:38:CD:D8:69:CF:6D:2A:DA,Easysoft-DS-DD
MIS-Logdrive-D,512,32,60:06:01:60:5B:3A:65:00:80:F2:D8:69:4F:1B:5B:3A,MIS-Logdrive-D
MIS-Tempdrive-E,512,33,60:06:01:60:5B:3A:65:00:F3:F2:D8:69:E7:9B:9E:D3,MIS-Tempdrive-E
MIS-STG-F,512,34,60:06:01:60:5B:3A:65:00:5A:F3:D8:69:72:E3:77:C6,MIS-STG-F
MIS-Prepaid-G,307.2,35,60:06:01:60:5B:3A:65:00:13:F4:D8:69:19:8D:56:F8,MIS-Prepaid-G
MIS-WFM-H,307.2,36,60:06:01:60:5B:3A:65:00:91:F4:D8:69:22:7F:6F:57,MIS-WFM-H
