Name,WWN,Provisioned,Logical Unit Number
ESXi-VOL01,naa.68ccf09800b740b09669108a3157b9ab,4.0 TB,1
ESXi-VOL02,naa.68ccf0980084e284ad8ada83955020e9,4.0 TB,2
ESXi-VOL03,naa.68ccf09800edfe3acd82edd61f3d9cb9,4.0 TB,3
ESXi-VOL04,naa.68ccf09800ce7dd42ecd5f4eac32eb2e,4.0 TB,4
ESXi-VOL05,naa.68ccf0980011c4c8c81b0859c9899fa0,4.0 TB,5
ESXi-VOL06,naa.68ccf098005565fd3ca6982012448f7a,4.0 TB,6
ESXi-VOL07,naa.68ccf09800b6aabbedd2b8f630957d1b,4.0 TB,7
ESXi-VOL08,naa.68ccf09800ae34337332bf55e8b9ac26,4.0 TB,8
ESXi-VOL09,naa.68ccf0980016eaac7c58477919d0f036,4.0 TB,9
ESXi-VOL10,naa.68ccf098001f0e2942923803063fc7e8,4.0 TB,10
ESXi-VOL11,naa.68ccf09800c2ffda113a55f59162809c,4.0 TB,11
MDM-Log Drive-D,naa.68ccf09800b5d9f12f858823afd943a9,3.8 TB,12
MDM-LS-G,naa.68ccf0980008b94faf2db7688915884c,3.7 TB,13
"MDM-Event,Alarm-H",naa.68ccf09800ff2c8045f219a318273bdb,1.9 TB,14
MDM-IP-I,naa.68ccf098006add19dc2bb20c161820c3,7.2 TB,15
MDM-LS-J,naa.68ccf098005cbc07130ddaf2509ff42f,3.6 TB,16
"MDM-Event,Alarm-K",naa.68ccf098008bd72151e6d9950aad2749,1.8 TB,17
MDM-Temp Drive-E,naa.68ccf0980035c139e0aeb3d89549f26e,1.3 TB,18
MDM-IP-F,naa.68ccf098005b3d7b6c03de0ea86a49ae,7.3 TB,19
nccmdmdb-quorum,naa.68ccf098008e579d80693ecbd2aee0ba,2.0 GB,20
MIS-Log Drive-D,naa.68ccf09800781e92a9c18aeaf9d13915,512.0 GB,21
MIS-Temp Drive-E,naa.68ccf098005db0c1b6e435bc917dac6e,512.0 GB,22
MIS- STG-F,naa.68ccf09800e1698bfee09c01617320fe,512.0 GB,23
MIS-Prepaid-G,naa.68ccf098002a901bf113ef6070c5177f,307.2 GB,24
MIS-WFM-H,naa.68ccf098006a72bb0e9f616db63aab81,307.2 GB,25
MIS-quorum-Q,naa.68ccf098004315662414b06adc431690,2.0 GB,27
MIS-Main-I,naa.68ccf098007def813a348dfe25d07cc3,1.8 TB,28
E-VOL-001,naa.68ccf09800a75e9e8caba524cdc5bb9d,4.0 TB,29
E-VOL-002,naa.68ccf098005c2fad53547dedced0c506,4.0 TB,30
E-VOL-003,naa.68ccf09800450681a9c6c4c4f5a6daf2,4.0 TB,31
E-VOL-004,naa.68ccf09800098fc087138af04ec613fa,4.0 TB,32
E-VOL-005,naa.68ccf09800a3a7ba9d2b81142727135a,4.0 TB,33
MIS-STG,naa.68ccf09800d18dc2ec931e6b8172fd3d,512.0 GB,34
MIS,naa.68ccf098005a5da65c906dc692c32d0f,830.0 GB,35
HES-DB-D,naa.68ccf098001e44c679a75a298eea13b6,12.0 TB,36
HES-DB-E,naa.68ccf098003418cb77251778f2623e02,3.6 TB,37
