Name,Size (GiB),Host LUN ID,WWN,Description
Data_Volume-1,"8,192.00",0,60:06:01:60:47:B2:62:00:54:65:45:69:1B:80:82:F4,infra server volume
Data_Volume-2,"8,192.00",1,60:06:01:60:47:B2:62:00:55:65:45:69:34:4A:BC:82,infra server volume
Data_Volume-3,"8,192.00",2,60:06:01:60:47:B2:62:00:55:65:45:69:EB:4E:23:63,infra server volume
Data_volume_4,"1,024.00",3,60:06:01:60:47:B2:62:00:CC:65:45:69:03:A7:76:30,infra server volume
Data_volume-5,"8,192.00",4,60:06:01:60:47:B2:62:00:23:BF:54:69:81:2E:23:87,olvm cluster volume
Data_Volume-6,"8,192.00",5,60:06:01:60:47:B2:62:00:45:C1:54:69:5E:F9:F0:B9,olvm cluster volume
Data_Volume-7,"8,192.00",6,60:06:01:60:47:B2:62:00:E8:C1:54:69:4C:E8:09:49,olvm cluster volume
ISO-Disk,200,7,60:06:01:60:47:B2:62:00:EB:98:60:69:17:8C:9C:6D,OLVM ISO Disk
SIEM-VOL-1,"2,048.00",8,60:06:01:60:47:B2:62:00:F7:D2:6D:69:86:7E:D9:68,volume for siem
SIEM-VOL-2,"2,048.00",9,60:06:01:60:47:B2:62:00:F7:D2:6D:69:25:02:4B:9A,volume for siem
SIEM-VOL-3,"2,048.00",10,60:06:01:60:47:B2:62:00:F8:D2:6D:69:DE:74:05:F7,volume for siem
SIEM-1,"5,120.00",11,60:06:01:60:47:B2:62:00:F8:91:79:69:BE:62:99:32,OLVM cluster
SIEM-2,"5,120.00",12,60:06:01:60:47:B2:62:00:F9:91:79:69:6A:15:F0:C6,OLVM cluster
SIEM-3,"5,120.00",13,60:06:01:60:47:B2:62:00:F9:91:79:69:D1:0B:76:76,OLVM cluster
SIEM-4,"5,120.00",14,60:06:01:60:47:B2:62:00:FA:91:79:69:7A:D0:CF:41,OLVM cluster
SIEM-5,"5,120.00",15,60:06:01:60:47:B2:62:00:02:97:81:69:7C:23:AF:75,OLVM cluster
SIEM-6,"5,120.00",16,60:06:01:60:47:B2:62:00:02:97:81:69:EA:A3:86:A5,OLVM cluster
SIEM-7,"5,120.00",17,60:06:01:60:47:B2:62:00:03:97:81:69:7E:4D:9A:44,OLVM cluster
SIEM-8,"5,120.00",18,60:06:01:60:47:B2:62:00:03:97:81:69:20:6E:13:80,OLVM cluster
SIEM-9,"5,120.00",19,60:06:01:60:47:B2:62:00:03:97:81:69:FD:80:78:2C,OLVM cluster
SIEM-10,"5,120.00",20,60:06:01:60:47:B2:62:00:04:97:81:69:EA:7B:5D:67,OLVM cluster
SIEM-11,"5,120.00",21,60:06:01:60:47:B2:62:00:04:97:81:69:93:65:F4:6F,OLVM cluster
SIEM-12,"5,120.00",22,60:06:01:60:47:B2:62:00:05:97:81:69:95:8F:84:87,OLVM cluster
